Top pages,Clicks,Impressions,CTR,Position
https://www.dollarbets.lol/crazy-kalshi-bets/,146,1257,11.6%,4.6
https://www.dollarbets.lol/funny-polymarket-bets/,6,270,2.2%,11.3
https://www.dollarbets.lol/the-ocho/,4,44,9.1%,5.7
https://www.dollarbets.lol/weirdest-polymarket-markets-june-2026/,3,106,2.8%,11.8
https://www.dollarbets.lol/can-you-legally-bet-on-elections/,2,7,28.6%,52.6
https://www.dollarbets.lol/weirdest-active-polymarket-markets-august-2026/,2,232,0.9%,8.5
https://www.dollarbets.lol/guides/,1,48,2.1%,13.1
https://www.dollarbets.lol/polymarket-vs-kalshi-craziest-markets/,1,17,5.9%,16.4
https://www.dollarbets.lol/weird-kalshi-bets/,1,55,1.8%,10.1
https://www.dollarbets.lol/weird-markets/weird-prop-bets/,1,13,7.7%,43.0
https://www.dollarbets.lol/weird-prediction-markets/,1,8,12.5%,8.8
https://www.dollarbets.lol/weirdest-kalshi-markets-june-2026/,1,14,7.1%,10.1
https://www.dollarbets.lol/,0,5,0%,5.8
https://www.dollarbets.lol/about/,0,31,0%,13.4
https://www.dollarbets.lol/best-dollar-bets-this-month/,0,1,0%,7.0
https://www.dollarbets.lol/celebrity-prediction-markets/,0,10,0%,37.1
https://www.dollarbets.lol/chalk/,0,2,0%,77.0
https://www.dollarbets.lol/craziest-bets-this-week/,0,12,0%,65.1
https://www.dollarbets.lol/financial-markets/,0,2,0%,73.5
https://www.dollarbets.lol/hall-of-filth/george-whitesides-ca-27-primary-bet/,0,1,0%,4.0
https://www.dollarbets.lol/hall-of-filth/obama-federal-charges-before-2027-bet/,0,9,0%,7.7
https://www.dollarbets.lol/hall-of-filth/taylor-swift-pope-leo-xiv-meeting/,0,4,0%,21.2
https://www.dollarbets.lol/manifold-markets-craziest-bets/,0,43,0%,52.7
https://www.dollarbets.lol/offensive-rookie-of-the-year-odds/,0,1,0%,50.0
https://www.dollarbets.lol/politicians-with-prediction-markets/,0,1,0%,10.0
https://www.dollarbets.lol/politics-markets/,0,1,0%,5.0
https://www.dollarbets.lol/privacy/,0,8,0%,31.2
https://www.dollarbets.lol/sitemap/,0,1,0%,5.0
https://www.dollarbets.lol/strangest-bets-ever-made/,0,1,0%,11.0
https://www.dollarbets.lol/terms/,0,3,0%,25.7
https://www.dollarbets.lol/the-lineup/,0,2,0%,7.0
https://www.dollarbets.lol/tier/generational/,0,1,0%,1.0
https://www.dollarbets.lol/tier/respectable/,0,13,0%,9.5
https://www.dollarbets.lol/underdogs/,0,1,0%,91.0
https://www.dollarbets.lol/weird-markets/,0,7,0%,38.1
https://www.dollarbets.lol/weird-prediction-markets-report/,0,1,0%,70.0
https://www.dollarbets.lol/weirdest-active-polymarket-markets-july-2026/,0,18,0%,10.1
https://www.dollarbets.lol/what-can-you-bet-one-dollar-on/,0,1,0%,11.0
https://www.dollarbets.lol/what-would-1-dollar-have-paid-famous-bets/,0,14,0%,5.6
https://www.dollarbets.lol/who-will-win-the-senate-in-2026-polymarket/,0,96,0%,13.6
